ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,T/C»ç½Ç¶§,¸Å¸Å±âÁØÀ²,ÇÑ±¹ÀºÇà±âÁØÀ²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,,(ÀüÀÏ´ëºñ),,
2019.07.02,"1,087.53","1,066.65","1,095.93","1,058.25","1,090.01","1,077.09»ó½Â2.87","1,066.80",0.9200
2019.07.01,"1,084.63","1,063.81","1,093.01","1,055.43","1,087.11","1,074.22»ó½Â1.42","1,066.74",0.9200
2019.06.28,"1,083.20","1,062.40","1,091.57","1,054.03","1,085.67","1,072.80»ó½Â0.30","1,073.35",0.9200
2019.06.27,"1,082.90","1,062.10","1,091.26","1,053.74","1,085.37","1,072.50ÇÏ¶ô-3.24","1,075.00",0.9200
2019.06.26,"1,086.17","1,065.31","1,094.56","1,056.92","1,088.64","1,075.74ÇÏ¶ô-4.34","1,077.35",0.9200
2019.06.25,"1,090.55","1,069.61","1,098.98","1,061.18","1,093.04","1,080.08»ó½Â1.72","1,078.97",0.9300
2019.06.24,"1,088.82","1,067.90","1,097.23","1,059.49","1,091.30","1,078.36ÇÏ¶ô-5.66","1,082.19",0.9300
2019.06.21,"1,094.53","1,073.51","1,102.99","1,065.05","1,097.02","1,084.02»ó½Â6.66","1,087.90",0.9300
2019.06.20,"1,087.81","1,066.91","1,096.21","1,058.51","1,090.28","1,077.36ÇÏ¶ô-7.72","1,089.16",0.9200
2019.06.19,"1,095.60","1,074.56","1,104.06","1,066.10","1,098.10","1,085.08ÇÏ¶ô-10.28","1,092.12",0.9200
2019.06.18,"1,105.98","1,084.74","1,114.52","1,076.20","1,108.50","1,095.36»ó½Â2.11","1,092.81",0.9200
2019.06.17,"1,103.85","1,082.65","1,112.38","1,074.12","1,106.36","1,093.25ÇÏ¶ô-2.00","1,090.79",0.9200
2019.06.14,"1,105.87","1,084.63","1,114.41","1,076.09","1,108.39","1,095.25»ó½Â3.41","1,093.45",0.9200
2019.06.13,"1,102.43","1,081.25","1,110.94","1,072.74","1,104.94","1,091.84ÇÏ¶ô-0.90","1,089.38",0.9200
2019.06.12,"1,103.33","1,082.15","1,111.86","1,073.62","1,105.85","1,092.74»ó½Â5.25","1,088.67",0.9200
2019.06.11,"1,098.03","1,076.95","1,106.52","1,068.46","1,100.53","1,087.49ÇÏ¶ô-5.26","1,092.10",0.9200
2019.06.10,"1,103.34","1,082.16","1,111.87","1,073.63","1,105.86","1,092.75»ó½Â0.12","1,087.55",0.9200
2019.06.07,"1,103.22","1,082.04","1,111.75","1,073.51","1,105.74","1,092.63»ó½Â3.59","1,087.87",0.9200
2019.06.05,"1,099.60","1,078.48","1,108.09","1,069.99","1,102.10","1,089.04ÇÏ¶ô-5.42","1,091.81",0.9200
2019.06.04,"1,105.07","1,083.85","1,113.61","1,075.31","1,107.59","1,094.46»ó½Â2.33","1,095.62",0.9200
2019.06.03,"1,102.72","1,081.54","1,111.24","1,073.02","1,105.23","1,092.13ÇÏ¶ô-2.49","1,100.36",0.9200
2019.05.31,"1,105.23","1,084.01","1,113.77","1,075.47","1,107.75","1,094.62»ó½Â8.78","1,085.82",0.9100
2019.05.30,"1,096.37","1,075.31","1,104.84","1,066.84","1,098.87","1,085.84ÇÏ¶ô-8.38","1,088.59",0.9100
2019.05.29,"1,104.83","1,083.61","1,113.36","1,075.08","1,107.35","1,094.22»ó½Â6.03","1,085.90",0.9100
2019.05.28,"1,098.74","1,077.64","1,107.23","1,069.15","1,101.24","1,088.19»ó½Â5.49","1,080.97",0.9100
2019.05.27,"1,093.20","1,072.20","1,101.64","1,063.76","1,095.69","1,082.70ÇÏ¶ô-2.14","1,087.63",0.9100
2019.05.24,"1,095.36","1,074.32","1,103.82","1,065.86","1,097.85","1,084.84»ó½Â2.89","1,087.41",0.9100
2019.05.23,"1,092.44","1,071.46","1,100.88","1,063.02","1,094.93","1,081.95»ó½Â3.04","1,083.29",0.9000
